name,doi_or_url,added_by,added_on,issue_number
Chikungunya Virus,10.1016/j.knosys.2025.114412,Lizo-RoadTown,2026-04-08,1
Dengue Infection OrnsteinUhlenbeck,10.1007/s00332-023-10004-4,Lizo-RoadTown,2026-04-08,2
HBV,10.1007/s00332-022-09883-w,Lizo-RoadTown,2026-04-08,3
Typhoid Fever Pneumonia,10.1016/j.aej.2023.01.027,Lizo-RoadTown,2026-04-08,4
Viral Infection,10.2290/app112110484,Lizo-RoadTown,2026-04-08,5
Cholera,https://onlinelibrary.wiley.com/doi/10.1155/2023/7232395,lmmaganto,2026-04-09,6
DOI_10.1016_Koufi_2022_F41,(unknown),Lizo-RoadTown,2026-04-09,8
DOI_10.1016_Koufi_2022_F42,(unknown),Lizo-RoadTown,2026-04-09,9
DOI_10.1016_Koufi_2022_F43,(unknown),Lizo-RoadTown,2026-04-09,25
DOI_10.1016_Koufi_2022_F44,(unknown),Lizo-RoadTown,2026-04-09,11
DOI_10.26782_Mitra_2024,(unknown),Lizo-RoadTown,2026-04-09,12
DOI_10.28919_Sharon_2025,(unknown),Lizo-RoadTown,2026-04-09,26
j.aej.2024.10.012,(unknown),Lizo-RoadTown,2026-04-09,27
j.health.2023.100239,(unknown),Lizo-RoadTown,2026-04-09,15
Witbooi_Malaria,(unknown),lmmaganto,2026-05-04,29
Aya_SARS,(unknown),lmmaganto,2026-05-12,30
SARS_CoV_2_Virus_,(unknown),Jampip,2026-05-20,31
